X,Y,OBJECTID,ESTABLISH,LOCATION,LICENSE_TY,ESTABLISHMENTID
3117618.520672932267189,1456202.160087540745735,134,Old Town Liquor,"214 South College Avenue, Unit 1",Retail Liquor Store,3215
3132219.109262526035309,1434044.450786903500557,135,Famous Dave's Bar-b-que,2880 East Harmony Road,Hotel-Restaurant,3219
3117694.100256994366646,1443160.230779394507408,136,La Creperie of Fort Collins,2722 South College Avenue,Beer and Wine,3220
3111962.410267651081085,1444128.100236296653748,137,Pulcinella Pizzeria,"1119 West Drake Road, C12",Beer and Wine,3222
3117145.280160486698151,1457119.639864400029182,138,Snooze,144 West Mountain Avenue,Hotel-Restaurant,3224
3118067.791105344891548,1459114.249722257256508,139,Northside Aztlan Community Center,112 East Willow,Hotel-Restaurant,3225
3112944.199980571866035,1439296.82053579390049,140,7-Eleven #26933,970 West Horsetooth Road,Fermented Malt Beverage (off-premises),3226
3111648.15039536356926,1444863.650268986821175,141,CAFÉ RAINTREE ATHLETIC CLUB,2555 South Shields Street,Lodging & Entertainment,3227
3117314.250288635492325,1457559.489720806479454,142,Moe's Original Bar-B-Que Ft. Collins,181 North College Avenue,Hotel-Restaurant,3228
3128657.910011202096939,1444195.870780363678932,143,Fabby's Wine and Spirits,"2608 SOUTH TIMBERLINE ROAD, #112",Retail Liquor Store,3229
3117361.690160691738129,1444645.380700781941414,144,Larkburger,2539 South College Avenue,Beer and Wine,3230
3118209.710769474506378,1457483.009224742650986,145,Surfside Seven Café,238 Linden Street,Hotel-Restaurant,3231
3117618.480000928044319,1456255.509383589029312,146,Stuft,210 South College Avenue,Hotel-Restaurant,3232
3111962.770507663488388,1452548.769748136401176,147,Krazy Karl's Pizza,1124 West Elizabeth Street,Beer and Wine,3233
3115854.869999289512634,1457119.279304400086403,148,Edwards House Bed & Breakfast,402 West Mountain Avenue,Bed and Breakfast Permit,3234
3124728.159671545028687,1439013.160007536411285,149,CB & Potts at Collindale Golf Course,1441 East Horsetooth Road,Hotel-Restaurant,3236
3111962.410267651081085,1444128.100236296653748,150,Ram Liquor,1119 West Drake Road #C-34,Retail Liquor Store,3237
3117863.570385158061981,1457598.678936839103699,151,"Forge Publick House, The",232 Walnut Street,Beer and Wine,3241
3131399.339245766401291,1434798.619875609874725,152,RJ's Wine & Spirits,"4321 Corbet Drive, Suite #100",Retail Liquor Store,3245
3111066.430442824959755,1452304.720035910606384,153,Fuzzy's Taco Shop,"1335 West Elizabeth Street, #125",Hotel-Restaurant,3247
3118215.800321474671364,1466058.149888724088669,154,King Soopers #99,1842 North College Avenue,Fermented Malt Beverage (off-premises),3249
3117102.211008444428444,1454015.299621507525444,155,"Mayor of Old Town, The",632 South Mason Street,Hotel-Restaurant,3250
3118176.369953438639641,1437185.249957829713821,156,La Luz Mexican Grill,"140 East Boardwalk Drive, Unit H & I",Hotel-Restaurant,3253
3123701.329702585935593,1433685.969874575734138,157,Carrabba's Italian Grill,1212 Oakridge Drive,Hotel-Restaurant,3257
3118084.990545362234116,1438922.740247443318367,158,"Cellar, The","3600 Mitchell Drive, Suite 90",Retail Liquor Store,3260
3117357.253472685813904,1457283.715640544891357,159,Jax Fish House,123 North College Avenue,Hotel-Restaurant,3262
3115751.570671185851097,1455264.919494673609734,160,Sapphire Events,417 West Magnolia,Hotel-Restaurant,3264
3117417.86032073199749,1435824.070580556988716,161,Tokyo Joe's,100 West Troutman Parkway,Hotel-Restaurant,3265
3118825.230530053377151,1439529.010360017418861,162,Fort Collins Marriott Hotel,350 East Horsetooth Road,Hotel-Restaurant,3269
3120579.620067685842514,1455532.789366915822029,163,JB's Convenience Store,710 East Magnolia Street,Retail Liquor Store,3273
